ID;CardType;Name;Description;ImageName;damage;HasEffect;EffectType;CountType;HunterDream;Transform;Immune
102;1;Transformed Hunter's Axe;*;*;3;0;0;0;0;1;0
101;1;Transformed Saw Cleaver;*;*;2;0;0;0;0;1;0
103;1;Transformed Church Hammer;Additional Instant Effect: The other hunters take 1 damage.;*;5;1;1;0;0;1;0
104;1;Transformed Bloodletter;Additional Instant Effect: Suffer 1 damage and deal 2 damage to everything besides yourself.;*;3;1;1;0;0;1;0
105;1;Transformed Boom Hammer;Additional Instant Effect: Deal 1 damage to everyone.;*;5;1;1;0;0;1;0
106;1;Transformed Tonitrus;Additional Instant Effect: Gain 1 damage for each ranged weapon in your used pile.;*;3;1;1;0;0;1;0
107;1;Transformed Blades of Mercy;Additional Instant Effect: If you are about to heal for 5 or more health, you will deal +2 damage.;*;2;1;1;0;0;1;1
108;1;Transformed Cosmic Parasite;No Additional Effect;*;4;1;1;0;0;1;0
109;1;Transformed Threaded Cane;Additional Instant Effectt: You deal 1 damage to the other hunters.;*;2;1;1;0;0;1;0
110;1;Transformed Saw Spear;Removes base effect.;*;4;1;2;0;0;1;0
201;2;Transformed Hunter's Pistol;Additional Instant Effect: Heal for half the damage the enemy dealt to you.;*;1;1;1;0;0;1;0
202;2;Transformed Evelyn;The bonus is changed to +3;*;2;1;1;0;0;1;0
203;2;Transformed Stone Fist;Instant Effect: You're immune to damage this round.;*;3;1;1;0;0;1;0
204;2;Transformed Flamethrower;No Additional Effect;*;3;1;1;0;0;1;0
205;2;Transformed Rosmarinus;No Additional Effect;*;3;1;1;0;0;1;0
206;2;Transformed Church Cannon;Additional Instant Effect: You deal 1 damage to the enemy.;*;2;1;1;0;0;1;0
207;2;Transformed Cyclic Pistol;No Additional Effect;*;3;1;1;0;0;1;1
208;2;Transformed Blunderbass;Additional Instant Effect: Deal 1 damage to the other hunters.;*;2;1;1;0;0;1;0
209;2;Transformed Gatling Gun;Additional Instant Effect: Deal 2 damage to the enemy.;*;2;1;1;0;0;1;0
210;2;Transformed Cannon;Additional Instant Effect: Deal 1 damage to everyone besides yourself.;*;3;1;1;0;0;1;0
